numOfAVs,NumberOfTasks,NumberOfLocalTask,NumberOfAwayTaskDueToPosition,NumberOfAwayTaskDueToCapacity,NumberOfTaskProcessed
25,762.9924901656932,69.07915126951961,0.0,397.8028370485159,296.11050184765764
50,2144.9467408585056,71.4,0.0,1090.7453298887121,982.8014109697933
75,2655.3340381282496,71.16443674176776,0.0,1370.9618601964182,1213.2077411900636
100,3858.2165615571334,70.8383317075384,0.0,1978.8354109480274,1808.5428189015677
125,4637.377541032387,70.80738269748794,0.0,2372.092667418405,2194.4774909164944
150,5514.943298544393,71.30063332349994,0.0,2819.96947130909,2623.6731939118026
175,6174.233295168026,71.10321428351976,0.0,3158.709350363663,2944.420730520844
200,7014.627189425263,71.45665833182858,0.0,3598.5857575266036,3344.5847735668312
225,7461.266719847796,71.41551552945371,0.0,3823.409407073784,3566.441797244558
250,8288.406874787948,71.04355912734586,0.0,4249.891436355684,3967.471879304918
